date,bank,rating
2022-07-06,CBE Mobile Banking,5.0
2022-07-07,CBE Mobile Banking,3.0
2022-07-08,CBE Mobile Banking,5.0
2022-07-11,CBE Mobile Banking,5.0
2022-07-12,CBE Mobile Banking,3.5
2022-07-14,CBE Mobile Banking,3.0
2022-07-15,CBE Mobile Banking,4.0
2022-07-16,CBE Mobile Banking,5.0
2022-07-17,CBE Mobile Banking,1.0
2022-07-21,CBE Mobile Banking,2.5
2022-07-22,CBE Mobile Banking,5.0
2022-07-24,CBE Mobile Banking,5.0
2022-07-25,CBE Mobile Banking,4.0
2022-07-27,CBE Mobile Banking,1.0
2022-07-29,CBE Mobile Banking,5.0
2022-07-31,CBE Mobile Banking,5.0
2022-08-02,CBE Mobile Banking,4.0
2022-08-03,CBE Mobile Banking,5.0
2022-08-04,CBE Mobile Banking,5.0
2022-08-05,CBE Mobile Banking,3.6666666666666665
2022-08-07,CBE Mobile Banking,4.333333333333333
2022-08-09,CBE Mobile Banking,4.0
2022-08-10,CBE Mobile Banking,5.0
2022-08-11,CBE Mobile Banking,3.5
2022-08-12,CBE Mobile Banking,5.0
2022-08-14,CBE Mobile Banking,5.0
2022-08-16,CBE Mobile Banking,4.0
2022-08-17,CBE Mobile Banking,5.0
2022-08-18,CBE Mobile Banking,5.0
2022-08-20,CBE Mobile Banking,1.0
2022-08-21,CBE Mobile Banking,5.0
2022-08-22,CBE Mobile Banking,5.0
2022-08-23,CBE Mobile Banking,1.5
2022-08-25,CBE Mobile Banking,5.0
2022-08-26,CBE Mobile Banking,4.5
2022-08-27,CBE Mobile Banking,1.0
2022-08-28,CBE Mobile Banking,3.0
2022-08-29,CBE Mobile Banking,4.5
2022-08-30,CBE Mobile Banking,5.0
2022-08-31,CBE Mobile Banking,5.0
2022-09-01,CBE Mobile Banking,4.0
2022-09-03,CBE Mobile Banking,5.0
2022-09-04,CBE Mobile Banking,2.5
2022-09-05,CBE Mobile Banking,4.666666666666667
2022-09-06,CBE Mobile Banking,5.0
2022-09-08,CBE Mobile Banking,5.0
2022-09-09,CBE Mobile Banking,3.0
2022-09-10,CBE Mobile Banking,3.5
2022-09-14,CBE Mobile Banking,5.0
2022-09-15,CBE Mobile Banking,3.5
2022-09-17,CBE Mobile Banking,5.0
2022-09-21,CBE Mobile Banking,5.0
2022-09-22,CBE Mobile Banking,5.0
2022-09-24,CBE Mobile Banking,5.0
2022-09-28,CBE Mobile Banking,4.0
2022-09-30,CBE Mobile Banking,4.0
2022-10-01,CBE Mobile Banking,4.0
2022-10-02,CBE Mobile Banking,5.0
2022-10-04,CBE Mobile Banking,4.333333333333333
2022-10-06,CBE Mobile Banking,3.3333333333333335
2022-10-07,CBE Mobile Banking,4.666666666666667
2022-10-08,CBE Mobile Banking,2.0
2022-10-10,CBE Mobile Banking,3.0
2022-10-11,CBE Mobile Banking,4.5
2022-10-14,CBE Mobile Banking,4.0
2022-10-16,CBE Mobile Banking,5.0
2022-10-18,CBE Mobile Banking,2.0
2022-10-19,CBE Mobile Banking,1.0
2022-10-20,CBE Mobile Banking,5.0
